Time,Force(grams),Force(kilograms),Force(newtons),Acceleration,Velocity
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.04,4e-05,0.00039240000000000005,0.007927272727272727,0.007927272727272727
123.0,-0.01,-1e-05,-9.810000000000001e-05,-0.001981818181818182,0.0059454545454545454
207.0,0.16,0.00016,0.0015696000000000002,0.03170909090909091,0.037654545454545454
291.0,0.16,0.00016,0.0015696000000000002,0.03170909090909091,0.06936363636363636
375.0,-0.01,-1e-05,-9.810000000000001e-05,-0.001981818181818182,0.06738181818181818
459.0,0.17,0.00017,0.0016677000000000003,0.0336909090909091,0.10107272727272729
543.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,0.16845454545454547
628.0,0.33,0.00033,0.0032373000000000002,0.0654,0.23385454545454548
712.0,0.28,0.00028000000000000003,0.0027468000000000006,0.0554909090909091,0.2893454545454546
796.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,0.3587090909090909
880.0,0.31,0.00031,0.0030411,0.061436363636363636,0.42014545454545454
964.0,0.31,0.00031,0.0030411,0.061436363636363636,0.48158181818181817
1048.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,0.5489636363636363
1132.0,0.33,0.00033,0.0032373000000000002,0.0654,0.6143636363636363
1216.0,0.32,0.00032,0.0031392000000000004,0.06341818181818182,0.6777818181818182
1300.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,0.7471454545454546
1384.0,0.3,0.0003,0.002943,0.05945454545454545,0.8066
1468.0,0.26,0.00026000000000000003,0.0025506000000000005,0.051527272727272734,0.8581272727272727
1552.0,0.24,0.00023999999999999998,0.0023544,0.047563636363636363,0.9056909090909091
1636.0,0.27,0.00027,0.0026487000000000004,0.053509090909090916,0.9592
1720.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,1.0285636363636363
1804.0,0.31,0.00031,0.0030411,0.061436363636363636,1.09
1888.0,0.29,0.00029,0.0028449,0.05747272727272727,1.1474727272727274
1972.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,1.2148545454545456
2056.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,1.284218181818182
2140.0,0.32,0.00032,0.0031392000000000004,0.06341818181818182,1.3476363636363637
2224.0,0.31,0.00031,0.0030411,0.061436363636363636,1.4090727272727275
2308.0,0.31,0.00031,0.0030411,0.061436363636363636,1.4705090909090912
2392.0,0.3,0.0003,0.002943,0.05945454545454545,1.5299636363636366
2476.0,0.28,0.00028000000000000003,0.0027468000000000006,0.0554909090909091,1.5854545454545457
2560.0,0.29,0.00029,0.0028449,0.05747272727272727,1.642927272727273
2644.0,0.29,0.00029,0.0028449,0.05747272727272727,1.7004000000000004
2727.0,0.3,0.0003,0.002943,0.05945454545454545,1.7598545454545458
2811.0,0.25,0.00025,0.0024525000000000003,0.049545454545454545,1.8094000000000003
2895.0,0.26,0.00026000000000000003,0.0025506000000000005,0.051527272727272734,1.860927272727273
2979.0,0.28,0.00028000000000000003,0.0027468000000000006,0.0554909090909091,1.916418181818182
3064.0,0.32,0.00032,0.0031392000000000004,0.06341818181818182,1.9798363636363638
3148.0,0.3,0.0003,0.002943,0.05945454545454545,2.0392909090909095
3232.0,0.29,0.00029,0.0028449,0.05747272727272727,2.0967636363636366
3316.0,0.33,0.00033,0.0032373000000000002,0.0654,2.1621636363636365
3400.0,0.27,0.00027,0.0026487000000000004,0.053509090909090916,2.2156727272727275
3484.0,0.26,0.00026000000000000003,0.0025506000000000005,0.051527272727272734,2.2672000000000003
3568.0,0.27,0.00027,0.0026487000000000004,0.053509090909090916,2.3207090909090913
3652.0,0.28,0.00028000000000000003,0.0027468000000000006,0.0554909090909091,2.3762000000000003
3736.0,0.29,0.00029,0.0028449,0.05747272727272727,2.4336727272727274
3820.0,0.3,0.0003,0.002943,0.05945454545454545,2.493127272727273
3904.0,0.29,0.00029,0.0028449,0.05747272727272727,2.5506
3988.0,0.32,0.00032,0.0031392000000000004,0.06341818181818182,2.614018181818182
4072.0,0.31,0.00031,0.0030411,0.061436363636363636,2.6754545454545458
4156.0,0.29,0.00029,0.0028449,0.05747272727272727,2.732927272727273
4240.0,0.3,0.0003,0.002943,0.05945454545454545,2.7923818181818185
4324.0,0.31,0.00031,0.0030411,0.061436363636363636,2.8538181818181823
4408.0,0.31,0.00031,0.0030411,0.061436363636363636,2.915254545454546
4492.0,0.3,0.0003,0.002943,0.05945454545454545,2.9747090909090916
4576.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,3.0420909090909096
4660.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,3.1094727272727276
4744.0,0.32,0.00032,0.0031392000000000004,0.06341818181818182,3.1728909090909094
4828.0,0.27,0.00027,0.0026487000000000004,0.053509090909090916,3.2264000000000004
4912.0,-3.58,-0.0035800000000000003,-0.03511980000000001,-0.7094909090909092,2.516909090909091
1.0,4.75,0.00475,0.0465975,0.9413636363636363,3.4582727272727274
73.0,4.67,0.00467,0.0458127,0.9255090909090908,4.383781818181818
157.0,4.57,0.00457,0.0448317,0.9056909090909091,5.289472727272727
241.0,4.93,0.0049299999999999995,0.0483633,0.9770363636363636,6.266509090909091
325.0,4.17,0.00417,0.040907700000000005,0.8264181818181818,7.092927272727273
409.0,1.46,0.00146,0.0143226,0.2893454545454545,7.382272727272728
493.0,0.85,0.00085,0.0083385,0.16845454545454547,7.550727272727273
577.0,1.0,0.001,0.009810000000000001,0.19818181818181818,7.748909090909091
661.0,1.02,0.00102,0.010006200000000002,0.20214545454545457,7.951054545454546
744.0,1.09,0.00109,0.010692900000000002,0.21601818181818183,8.167072727272727
828.0,1.1,0.0011,0.010791000000000002,0.21800000000000003,8.385072727272727
912.0,1.08,0.00108,0.010594800000000001,0.21403636363636366,8.59910909090909
996.0,1.04,0.0010400000000000001,0.010202400000000002,0.20610909090909094,8.805218181818182
1080.0,1.1,0.0011,0.010791000000000002,0.21800000000000003,9.023218181818182
1164.0,1.09,0.00109,0.010692900000000002,0.21601818181818183,9.239236363636364
1248.0,1.05,0.0010500000000000002,0.010300500000000002,0.20809090909090913,9.447327272727273
1332.0,1.04,0.0010400000000000001,0.010202400000000002,0.20610909090909094,9.653436363636365
1416.0,1.04,0.0010400000000000001,0.010202400000000002,0.20610909090909094,9.859545454545456
1500.0,1.08,0.00108,0.010594800000000001,0.21403636363636366,10.07358181818182
1584.0,1.11,0.00111,0.010889100000000002,0.21998181818181822,10.293563636363638
1668.0,1.07,0.00107,0.010496700000000001,0.21205454545454547,10.505618181818184
1752.0,1.07,0.00107,0.010496700000000001,0.21205454545454547,10.71767272727273
1836.0,1.07,0.00107,0.010496700000000001,0.21205454545454547,10.929727272727275
1920.0,1.05,0.0010500000000000002,0.010300500000000002,0.20809090909090913,11.137818181818185
2004.0,1.13,0.00113,0.0110853,0.22394545454545453,11.361763636363639
2088.0,1.16,0.00116,0.0113796,0.2298909090909091,11.591654545454547
2172.0,1.15,0.00115,0.0112815,0.2279090909090909,11.819563636363638
2256.0,1.11,0.00111,0.010889100000000002,0.21998181818181822,12.039545454545456
2340.0,1.09,0.00109,0.010692900000000002,0.21601818181818183,12.255563636363638
2425.0,1.05,0.0010500000000000002,0.010300500000000002,0.20809090909090913,12.463654545454547
2509.0,1.09,0.00109,0.010692900000000002,0.21601818181818183,12.67967272727273
2593.0,1.1,0.0011,0.010791000000000002,0.21800000000000003,12.89767272727273
2677.0,1.15,0.00115,0.0112815,0.2279090909090909,13.12558181818182
2761.0,1.17,0.00117,0.0114777,0.23187272727272726,13.357454545454546
2845.0,1.11,0.00111,0.010889100000000002,0.21998181818181822,13.577436363636364
2929.0,1.06,0.00106,0.010398600000000001,0.21007272727272727,13.787509090909092
3013.0,1.09,0.00109,0.010692900000000002,0.21601818181818183,14.003527272727274
3097.0,1.09,0.00109,0.010692900000000002,0.21601818181818183,14.219545454545456
3181.0,1.06,0.00106,0.010398600000000001,0.21007272727272727,14.429618181818183
3265.0,1.12,0.0011200000000000001,0.010987200000000003,0.2219636363636364,14.65158181818182
3349.0,1.13,0.00113,0.0110853,0.22394545454545453,14.875527272727274
3432.0,1.1,0.0011,0.010791000000000002,0.21800000000000003,15.093527272727274
3516.0,1.1,0.0011,0.010791000000000002,0.21800000000000003,15.311527272727274
3600.0,1.1,0.0011,0.010791000000000002,0.21800000000000003,15.529527272727274
3684.0,1.22,0.00122,0.0119682,0.24178181818181818,15.771309090909092
3768.0,7.98,0.007980000000000001,0.07828380000000001,1.5814909090909093,17.352800000000002
3852.0,39.43,0.03943,0.3868083,7.814309090909091,25.167109090909094
3936.0,89.33,0.08932999999999999,0.8763272999999999,17.703581818181817,42.87069090909091
4020.0,112.49,0.11248999999999999,1.1035269,22.29347272727273,65.16416363636364
4104.0,70.46,0.07046,0.6912126,13.963890909090907,79.12805454545455
4188.0,17.57,0.01757,0.1723617,3.4820545454545453,82.61010909090909
4272.0,3.57,0.00357,0.0350217,0.707509090909091,83.31761818181818
4356.0,3.18,0.00318,0.031195800000000003,0.6302181818181818,83.94783636363636
4440.0,2.9,0.0029,0.028449,0.5747272727272726,84.52256363636363
4524.0,4.86,0.004860000000000001,0.047676600000000006,0.9631636363636364,85.48572727272726
4608.0,36.9,0.036899999999999995,0.36198899999999995,7.3129090909090895,92.79863636363635
4692.0,120.1,0.1201,1.1781810000000001,23.801636363636366,116.60027272727271
4776.0,196.84,0.19684000000000001,1.9310004000000003,39.0101090909091,155.6103818181818
4860.0,232.4,0.2324,2.279844,46.05745454545455,201.66783636363635
4944.0,157.9,0.1579,1.5489990000000002,31.292909090909095,232.96074545454545
5028.0,32.17,0.032170000000000004,0.3155877000000001,6.375509090909092,239.33625454545455
5113.0,-17.98,-0.01798,-0.1763838,-3.5633090909090908,235.77294545454546
1.0,5.0,0.005,0.04905,0.990909090909091,236.76385454545456
59.0,4.96,0.00496,0.0486576,0.9829818181818182,237.7468363636364
143.0,4.89,0.004889999999999999,0.0479709,0.9691090909090908,238.71594545454548
226.0,5.4,0.0054,0.05297400000000001,1.0701818181818183,239.7861272727273
310.0,13.71,0.013710000000000002,0.13449510000000003,2.7170727272727278,242.50320000000002
394.0,13.73,0.013730000000000001,0.1346913,2.721036363636364,245.22423636363638
478.0,1.03,0.00103,0.010104300000000002,0.20412727272727277,245.42836363636366
562.0,0.28,0.00028000000000000003,0.0027468000000000006,0.0554909090909091,245.48385454545456
647.0,0.37,0.00037,0.0036297,0.07332727272727273,245.55718181818185
731.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,245.62456363636366
815.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,245.6939272727273
899.0,0.37,0.00037,0.0036297,0.07332727272727273,245.7672545454546
983.0,0.38,0.00038,0.0037278000000000003,0.07530909090909091,245.84256363636368
1067.0,0.32,0.00032,0.0031392000000000004,0.06341818181818182,245.90598181818186
1150.0,0.37,0.00037,0.0036297,0.07332727272727273,245.97930909090914
1234.0,0.4,0.0004,0.003924,0.07927272727272727,246.05858181818186
1318.0,0.37,0.00037,0.0036297,0.07332727272727273,246.13190909090915
1402.0,0.32,0.00032,0.0031392000000000004,0.06341818181818182,246.19532727272733
1486.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,246.26469090909097
1570.0,0.36,0.00035999999999999997,0.0035315999999999998,0.07134545454545453,246.33603636363642
1654.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,246.40540000000007
1738.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,246.4727818181819
1822.0,0.31,0.00031,0.0030411,0.061436363636363636,246.53421818181826
1906.0,0.3,0.0003,0.002943,0.05945454545454545,246.5936727272728
1990.0,0.31,0.00031,0.0030411,0.061436363636363636,246.65510909090918
2074.0,0.32,0.00032,0.0031392000000000004,0.06341818181818182,246.71852727272736
2158.0,0.37,0.00037,0.0036297,0.07332727272727273,246.79185454545464
2242.0,0.36,0.00035999999999999997,0.0035315999999999998,0.07134545454545453,246.8632000000001
2326.0,0.33,0.00033,0.0032373000000000002,0.0654,246.9286000000001
2410.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,246.99598181818192
2494.0,0.37,0.00037,0.0036297,0.07332727272727273,247.0693090909092
2578.0,0.4,0.0004,0.003924,0.07927272727272727,247.14858181818192
2662.0,0.38,0.00038,0.0037278000000000003,0.07530909090909091,247.223890909091
2746.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,247.29325454545466
2830.0,0.33,0.00033,0.0032373000000000002,0.0654,247.35865454545467
2914.0,0.39,0.00039,0.0038259,0.07729090909090909,247.4359454545456
2998.0,0.44,0.00044,0.004316400000000001,0.08720000000000001,247.52314545454558
3082.0,0.4,0.0004,0.003924,0.07927272727272727,247.6024181818183
3166.0,0.33,0.00033,0.0032373000000000002,0.0654,247.66781818181832
3250.0,0.28,0.00028000000000000003,0.0027468000000000006,0.0554909090909091,247.72330909090923
3334.0,0.26,0.00026000000000000003,0.0025506000000000005,0.051527272727272734,247.7748363636365
3418.0,0.37,0.00037,0.0036297,0.07332727272727273,247.84816363636378
3502.0,0.43,0.00043,0.0042183,0.08521818181818182,247.93338181818197
3587.0,0.4,0.0004,0.003924,0.07927272727272727,248.0126545454547
3671.0,0.3,0.0003,0.002943,0.05945454545454545,248.07210909090924
3755.0,0.32,0.00032,0.0031392000000000004,0.06341818181818182,248.13552727272742
3838.0,0.37,0.00037,0.0036297,0.07332727272727273,248.2088545454547
3922.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,248.2762363636365
4006.0,0.3,0.0003,0.002943,0.05945454545454545,248.33569090909106
4090.0,0.28,0.00028000000000000003,0.0027468000000000006,0.0554909090909091,248.39118181818196
4174.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,248.45856363636378
4258.0,0.4,0.0004,0.003924,0.07927272727272727,248.5378363636365
4342.0,0.41,0.00041,0.0040221,0.08125454545454544,248.61909090909106
4426.0,0.38,0.00038,0.0037278000000000003,0.07530909090909091,248.69440000000014
4510.0,0.37,0.00037,0.0036297,0.07332727272727273,248.76772727272743
4594.0,0.39,0.00039,0.0038259,0.07729090909090909,248.84501818181835
4678.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,248.91240000000016
4762.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,248.97978181818198
4846.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,249.0471636363638
4930.0,0.37,0.00037,0.0036297,0.07332727272727273,249.12049090909107
5014.0,0.37,0.00037,0.0036297,0.07332727272727273,249.19381818181836
5098.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,249.263181818182
5182.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,249.33056363636382
5266.0,0.32,0.00032,0.0031392000000000004,0.06341818181818182,249.393981818182
5350.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,249.46334545454565
5434.0,0.32,0.00032,0.0031392000000000004,0.06341818181818182,249.52676363636382
5518.0,0.33,0.00033,0.0032373000000000002,0.0654,249.59216363636384
5602.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,249.66152727272748
5686.0,0.37,0.00037,0.0036297,0.07332727272727273,249.73485454545477
5770.0,0.37,0.00037,0.0036297,0.07332727272727273,249.80818181818205
5854.0,0.31,0.00031,0.0030411,0.061436363636363636,249.86961818181842
5938.0,0.27,0.00027,0.0026487000000000004,0.053509090909090916,249.92312727272753
6022.0,0.27,0.00027,0.0026487000000000004,0.053509090909090916,249.97663636363663
6106.0,0.3,0.0003,0.002943,0.05945454545454545,250.03609090909117
6190.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,250.103472727273
6274.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,250.17283636363663
6358.0,0.37,0.00037,0.0036297,0.07332727272727273,250.24616363636392
6443.0,0.39,0.00039,0.0038259,0.07729090909090909,250.32345454545484
